Sites,Mean,sd,lw_mean,lw_sd,lw_percentage_mean,lw_percentage_sd
Asselin ,417.9,144.2,293.7,106.1,53.5,30.5
Saint-Casimir,340.2,104.1,292.1,97.1,41.9,21.8
