Sites,Paremeters,Niveau,Valeur_parameters
Asselin ,b0,min,257.26
Asselin ,b1,min,-0.93
Asselin ,b2,min,-81.83
Saint-Casimir,b0,min,264.88
Saint-Casimir,b1,min,-1.34
Saint-Casimir,b2,min,-50.87
Asselin ,b0,mean,302.78
Asselin ,b1,mean,0.97
Asselin ,b2,mean,17.02
Saint-Casimir,b0,mean,304.40
Saint-Casimir,b1,mean,1.09
Saint-Casimir,b2,mean,14.87
Asselin ,b0,max,369.78
Asselin ,b1,max,5.36
Asselin ,b2,max,61.34
Saint-Casimir,b0,max,353.90
Saint-Casimir,b1,max,7.04
Saint-Casimir,b2,max,61.34
