Site,Location,Latitude ,Longitude ,Elevation (m),MAT,TAP (mm),Soil type
Asselin ,Squatec,47.88,-68.44,349,2.4,1042.0,loamy soils
Saint-Casimir ,Saint-Alban,46.70,-72.11,53,4.7,1135.7,sandy-loam soils
