Site,Levels,Index_V
Asselin ,Min,116.5
Saint-Casimir ,Min,54.9
Combined,Min,54.9
Asselin ,Mean,417.5
Saint-Casimir ,Mean,339.8
Combined,Mean,375.9
Asselin ,Max,1155.8
Saint-Casimir ,Max,746.0
Combined,Max,1155.8
